Date : 2022-04-14 22:58:20
Directory : /Users/will/projects/blog
Total : 133 files,  16021 codes, 125 comments, 735 blanks, all 16881 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |      8,935 |          1 |          2 |      8,938 |
| JavaScript React   |         29 |      2,594 |         27 |        213 |      2,834 |
| CSS                |         26 |      1,798 |         20 |        123 |      1,941 |
| JavaScript         |         56 |      1,253 |         71 |        155 |      1,479 |
| Draw.io            |          6 |        762 |          0 |          0 |        762 |
| Markdown           |         11 |        659 |          0 |        242 |        901 |
| HTML               |          1 |         12 |          0 |          0 |         12 |
| JSON with Comments |          1 |          8 |          6 |          0 |         14 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                   |        133 |     16,021 |        125 |        735 |     16,881 |
| client                                                                                              |         69 |      3,837 |         52 |        376 |      4,265 |
| client/Editor                                                                                       |          1 |          5 |          0 |          1 |          6 |
| client/components                                                                                   |         51 |      3,367 |         35 |        321 |      3,723 |
| client/components/admin                                                                             |         21 |      1,917 |          6 |        170 |      2,093 |
| client/components/admin/article                                                                     |          4 |        448 |          6 |         29 |        483 |
| client/components/admin/article/articleEditor                                                       |          2 |        175 |          6 |         13 |        194 |
| client/components/admin/dashboard                                                                   |          2 |         10 |          0 |          2 |         12 |
| client/components/admin/homePages                                                                   |          8 |      1,132 |          0 |         90 |      1,222 |
| client/components/admin/homePages/contentPage                                                       |          2 |        140 |          0 |         12 |        152 |
| client/components/admin/homePages/contentPageDetail                                                 |          2 |        367 |          0 |         29 |        396 |
| client/components/admin/homePages/footerPage                                                        |          2 |        286 |          0 |         25 |        311 |
| client/components/admin/homePages/indexPage                                                         |          2 |        339 |          0 |         24 |        363 |
| client/components/admin/login                                                                       |          2 |        145 |          0 |         19 |        164 |
| client/components/admin/message                                                                     |          2 |         14 |          0 |          2 |         16 |
| client/components/admin/sideBar                                                                     |          1 |         66 |          0 |          8 |         74 |
| client/components/app                                                                               |          2 |         52 |          1 |          9 |         62 |
| client/components/articleList                                                                       |          6 |        395 |          2 |         39 |        436 |
| client/components/articleList/articleCard                                                           |          2 |        100 |          0 |         10 |        110 |
| client/components/articleList/sideBar                                                               |          2 |        131 |          0 |         15 |        146 |
| client/components/articlePage                                                                       |          2 |         83 |          1 |         13 |         97 |
| client/components/blackBoard                                                                        |          1 |         13 |          0 |          1 |         14 |
| client/components/comment                                                                           |          6 |        314 |         10 |         29 |        353 |
| client/components/comment/commentList                                                               |          2 |         84 |          3 |          6 |         93 |
| client/components/comment/commentSubmit                                                             |          2 |        145 |          4 |         11 |        160 |
| client/components/homepage                                                                          |          8 |        447 |         15 |         49 |        511 |
| client/components/homepage/contentPage                                                              |          2 |         93 |          4 |          8 |        105 |
| client/components/homepage/footerPage                                                               |          2 |        175 |          7 |         19 |        201 |
| client/components/homepage/indexPage                                                                |          2 |         93 |          4 |          8 |        105 |
| client/components/navbar                                                                            |          4 |        131 |          0 |         10 |        141 |
| client/components/navbar/item                                                                       |          2 |         30 |          0 |          3 |         33 |
| client/herald                                                                                       |          1 |         51 |          0 |          5 |         56 |
| client/router                                                                                       |          5 |        200 |          6 |         17 |        223 |
| client/store                                                                                        |          4 |         91 |          0 |         16 |        107 |
